Neighborhood Name,park_coverage_percentage
Albany Park,2.7335732768571166
Archer Heights,1.7569296732568338
Armour Square,2.8167467037799385
Ashburn,1.9465908639837575
Auburn Gresham,2.4987597921562985
Austin,4.3518665901319435
Avalon Park,3.5055462392677463
Avondale,0.6911015130727143
Belmont Cragin,4.82955613619102
Beverly,1.9223120066542814
Bridgeport,3.241697697659165
Brighton Park,0.4596634252500686
Burnside,2.5503083464077636
Berwyn,1.3309989601123333
Calumet Heights,1.884001406650522
Chatham,2.195690986889588
Chicago Lawn,27.294108960975986
Clearing,2.13042264800465
Cicero,1.559403080800839
Douglas,14.81682120124489
Dunning,1.6685779691005653
East Garfield Park,14.797695310635229
East Side,10.025246470259999
Edgewater,7.122438012200927
Edison Park,2.7374304763893313
Englewood,2.3372751747383655
Forest Glen,1.154200783789696
Fuller Park,2.6162730990798475
Gage Park,3.4317149186992664
Garfield Ridge,1.7182772066978738
Grand Boulevard,3.0286131215039336
Greater Grand Crossing,1.5928946074839978
Hegewisch,0.5732578370477948
Hermosa,2.0519712211714913
Humboldt Park,0.6127751220190597
Hyde Park,28.412914331936566
Irving Park,4.5845471868521575
Jefferson Park,1.1197299910747835
Kenwood,18.99359457838326
Lake View,8.83498504781671
Lincoln Park,20.05505625605463
Lincoln Square,4.924404135324914
Logan Square,1.4866878029282362
Loop,29.178686866246263
Pilsen,1.9957154351547683
McKinley Park,8.069403325589944
Montclare,1.651549039615167
Morgan Park,2.982271676988751
Mount Greenwood,5.96453462787131
Near North Side,2.345761706177151
Near South Side,29.694215413832364
Near West Side,1.7877813201885004
New City,2.756555326883982
North Center,4.131942641825192
Lawndale,8.695658389878531
North Park,14.028615947211437
Norwood Park,1.5776145020602785
Oakland,36.0347725892752
O'Hare,0.018628473337117632
Oak Park,2.6918405974975563
Portage Park,2.7518125096222765
Pullman,2.1618368158306898
Riverdale,1.0329668195473216
Rogers Park,5.33434319846498
Roseland,2.521728592317346
South Chicago,4.57343778646403
South Deering,1.0592346134112849
Little Village,0.8691944238189959
South Shore,10.223703696342186
Uptown,22.98459995371927
Washington Heights,3.0688254515497295
Washington Park,35.92757548850586
West Elsdon,2.138479750624676
West Englewood,3.988571880368983
West Garfield Park,0.41460933051466764
West Lawn,1.8648472419010071
West Pullman,2.7937761655795845
West Ridge,8.267236468720762
West Town,8.379916046589821
Woodlawn,30.183502976483663
